city,lat,lng,country
Mau,25.9417,83.5611,India
Barasat,22.72,88.48,India
Farrukhabad,27.39,79.581,India
Saugor,23.83,78.71,India
Ratlam,23.334,75.037,India
Drug,21.19,81.28,India
Handwara,34.4,74.28,India
Imphal,24.8074,93.9384,India
Anantapur,14.68,77.599,India
Arrah,25.5514,84.6603,India
Malkajgiri,17.4519,78.5362,India
Tiruvottiyur,13.16,80.3,India
Etawah,26.77,79.03,India
Puducherry,11.9167,79.8167,India
Byatarayanpur,13.0659,77.5922,India
Bharatpur,27.22,77.48,India
Gadda Madiral,18.7519,79.5133,India
Junagarh,19.8599,82.9338,India
Begusarai,25.42,86.13,India
Gandhidham,23.08,70.13,India
Ramnagar,27.17,84.32,India
Katihar,25.53,87.58,India
Krishnarajpur,13.012,77.6951,India
Nelamangala,13.102,77.374,India
Singrauliya,24.11,82.39,India
Ramgundam,18.7639,79.475,India
Pandharpur,17.6778,75.3278,India
Masaurhi Buzurg,25.35,85.02,India
Tuticorin,8.7642,78.1348,India
Ganganagar,29.92,73.88,India
Rewa,24.53,81.3,India
Uluberiya,22.47,88.11,India
Bulandshahr,28.4069,77.8497,India
Cannanore,11.8689,75.3555,India
Raichur,16.2,77.37,India
Vizianagaram,18.1159,83.406,India
Pali,25.77,73.33,India
Songadh,21.167,73.564,India
Haridwar,29.945,78.163,India
Pathardi,19.17,75.18,India
Petlad,22.47,72.8,India
Khatima,28.92,79.97,India
Pallavaram,12.9675,80.1491,India
Nadiad,22.69,72.86,India
Tanjore,10.787,79.1378,India
Kichha,28.92,79.5,India
Secunderabad,17.4399,78.4983,India
Tiptur,13.26,76.48,India
Katri,23.48,80.4,India
Sambhal,28.58,78.55,India
Anand,22.556,72.951,India
Naihati,22.89,88.42,India
Yamunanagar,30.133,77.288,India
Monghyr,25.381,86.465,India
Kapra,17.4859,78.5651,India
Shimla,31.1033,77.1722,India
Gokak,16.1667,74.8333,India
Puri,19.8106,85.8314,India
Nandyal,15.48,78.48,India
Bhadravati,13.8485,75.705,India
Panchkula,30.74,76.8,India
Burhanpur,21.3,76.23,India
Kiratot,32.8376,76.2296,India
Kharagpur,22.3302,87.3237,India
Dindigul,10.35,77.95,India
Robertsonpet,12.9563,78.2754,India
Hospet,15.2689,76.3909,India
Lingampalli,17.4865,78.317,India
Ingraj Bazar,25.0044,88.1458,India
Ongole,15.506,80.049,India
Ellore,16.7117,81.1031,India
Betigeri,15.443,75.6442,India
Mokameh,25.3898,85.9191,India
Deoghar,24.48,86.7,India
Chhindwara,22.057,78.9396,India
Haldia,22.0667,88.0698,India
Khandwa,21.82,76.35,India
Pulimaddi,15.48,78.48,India
Morena,26.5,78,India
Amroha,28.9044,78.4675,India
Drabar,33.43,75.09,India
Bhind,26.5587,78.7871,India
Chakradharpur,22.7,85.63,India
Madhyamgram,22.7,88.45,India
Khammam,17.2473,80.1514,India
Bhiwani,28.78,76.13,India
Shrirampur,22.75,88.34,India
Ghandinagar,23.223,72.65,India
Baharampur,24.1,88.25,India
Hugli,22.9089,88.3967,India
Morbi,22.82,70.83,India
Mahbubnagar,16.7488,78.0035,India
Fatehpur,25.93,80.8,India
Pandhurna,21.6,78.52,India
Rajendranagar,17.3198,78.4031,India
Rae Bareli,26.2236,81.2403,India
Orai,25.98,79.47,India
Raiganj,25.62,88.12,India
Bhusaval,21.05,75.77,India
Barakpur,22.7642,88.3776,India
Bahraigh,27.575,81.594,India
Tambaram,12.831,80.0459,India
Umreth,22.6986,73.1156,India
Mahesana,23.6,72.4,India
Dinapore,25.6225,85.0417,India
Alasandigutta,15.63,77.28,India
Batala,31.8186,75.2028,India
Kottayam,9.5947,76.4856,India
Sirsa,29.5333,75.0167,India
Karaikkudi,10.0735,78.7732,India
Himatnagar,23.6,72.95,India
Alleppey,9.49,76.33,India
Dam Dam,22.62,88.42,India
Jaunpur,25.73,82.68,India
Guna,24.65,77.32,India
Madanapalle,13.55,78.5,India
Mahad,18.083,73.417,India
Shivpuri,25.43,77.65,India
Bhalswa Jahangirpur,28.7354,77.1638,India
Sultanpur Mazra,28.6981,77.0689,India
Unnao,26.55,80.49,India
Titagarh,22.74,88.37,India
Waraseoni,21.7647,80.0494,India
Mauli,30.699,76.693,India
Chandannagar,22.8671,88.3674,India
Cuddalore,11.75,79.75,India
Kotdwara,29.75,78.53,India
Chirala,15.8246,80.3521,India
Deo,24.6561,84.4356,India
Silchar,24.82,92.8,India
Gadag,15.4167,75.6167,India
Tiruvannamalai,12.13,79.07,India
Bidar,17.912,77.52,India
Valsad,20.61,72.926,India
Machilipatnam,16.17,81.13,India
Medinipur,22.424,87.319,India
Damoh,23.8331,79.4419,India
Neyveli,11.6088,79.4994,India
Baramula,34.2,74.34,India
Wapi,20.372,72.917,India
Jind,29.3167,76.3167,India
Adoni,15.6244,77.2731,India
Tenali,16.239,80.645,India
Fyzabad,26.773,82.146,India
Udipi,13.3389,74.7451,India
Conjeeveram,12.8308,79.7078,India
Proddatur,14.73,78.55,India
Nangloi Jat,28.6833,77.0667,India
Godhra,22.7772,73.6203,India
Chitaldrug,14.2333,76.4,India
Rajapalaiyam,9.4204,77.58,India
Multai,21.77,78.25,India
Chittoor,13.216,79.098,India
Krishnanagar,23.4,88.5,India
Uttarpara,22.67,88.35,India
Moga,30.822,75.174,India
Budaun,28.05,79.12,India
Bharuch,21.6948,72.9805,India
Saharsa,25.88,86.6,India
Pathankot,32.2668,75.6,India
Vidisha,23.5239,77.8061,India
Nalgonda,17.05,79.27,India
Rudarpur,28.9708,79.3972,India
Thanesar,29.9667,76.8167,India
Jorhat,26.75,94.22,India
Hajipur,25.6925,85.2084,India
Balurghat,25.22,88.76,India
Dibrugarh,27.48,95,India
Veraval,20.9,70.37,India
Shantipur,23.25,88.43,India
Hindupur,13.83,77.49,India
Erode,11.3409,77.7171,India
Beawar,26.1011,74.3203,India
Kolar,13.1333,78.1333,India
Soro,21.29,86.69,India
Sitarganj,28.93,79.7,India
Habra,22.83,88.63,India
Nowgong,26.3492,92.6861,India
Bir,18.9833,75.7667,India
Etah,27.63,78.67,India
Narnaul,28.0444,76.1056,India
Abohar,30.1334,74.2001,India
Kaithal,29.8015,76.3998,India
Shillong,25.5744,91.8789,India
Chhatarpur,24.9177,79.5887,India
Koiridih,24.18,86.3,India
Rewari,28.18,76.62,India
Kumbakonam,10.9602,79.3845,India
Bhimavaram,16.543,81.523,India
Dehri,24.91,84.18,India
Mandsaur,24.03,75.08,India
Chicacole,18.3,83.9,India
Mandya,12.5242,76.8958,India
Bankura,23.25,87.0667,India
Siwan,26.22,84.36,India
Khargone,21.8229,75.6139,India
Raigarh,21.8,83.3,India
Yelahanka,13.1007,77.5963,India
Chikmagalur,13.3167,75.7833,India
Gondia,21.45,80.2,India
Hassan,13.005,76.1028,India
Palwal,28.143,77.329,India
Palghat,10.7792,76.6547,India
Chittandikavundanur,10.6931,76.7188,India
Kanchrapara,22.9456,88.4332,India
Chas,23.63,86.17,India
Bongaigaon,26.4769,90.5583,India
Mukerian,31.95,75.62,India
Hanumangarh,29.5833,74.3167,India
Mothihari,26.65,84.9167,India
Alwal,17.5047,78.5038,India
Hoshangabad,22.7475,77.7274,India
Khanna,30.7,76.22,India
Nagda,23.4564,75.4131,India
Jharsugra,21.85,84.03,India
Palni,10.45,77.5161,India
Basirhat,22.6612,88.866,India
Navadwip,23.4088,88.3657,India
Guntakal,15.17,77.38,India
Pithampur,22.6197,75.6933,India
Halisahar,22.95,88.42,India
Rishra,22.71,88.35,India
Patan,23.85,72.1167,India
Sunam,30.13,75.8,India
Pali,23.35,81.05,India
Nandgaon,20.307,74.657,India
Bhadrakh,21.0545,86.5156,India
Dimapur,25.92,93.73,India
Baidyabati,22.79,88.32,India
Dharmavaram,14.43,77.72,India
Ghazipur,25.5833,83.5667,India
Puruliya,23.3333,86.3667,India
Gudiyattam,12.9476,78.87,India
Bagaha,27.0992,84.09,India
Gurdaspur,32.0333,75.4,India
Satara,17.6833,73.9833,India
Darjeeling,27.0375,88.2631,India
Bagalkot,16.1833,75.7,India
Nokha,27.6,73.42,India
Gudivada,16.43,80.99,India
Sopur,34.3,74.47,India
Phagwara,31.22,75.77,India
Pudukkottai,10.3833,78.8001,India
Adilabad,19.6667,78.5333,India
Narasaraopet,16.25,80.07,India
Pollachi,10.659,77.008,India
Barnala,30.37,75.54,India
Yavatmal,20.4,78.1333,India
Chittaurgarh,24.8894,74.6239,India
Kovilpatti,9.1744,77.8688,India
Bansbaria,22.97,88.4,India
Kaikkudi,9.893,78.7313,India
Osmanabad,18.1667,76.05,India
Sahibganj,25.25,87.65,India
Balangir,20.72,83.48,India
Rajpura,30.484,76.594,India
Madhavaram,13.1482,80.2314,India
Champdani,22.8,88.37,India
Mahasamund,21.11,82.1,India
Shujalpur,23.4,76.72,India
Khardah,22.72,88.38,India
Nawada,24.88,85.53,India
Muktsar,30.4743,74.5166,India
Betul Bazar,21.92,77.9,India
Ferozepore,30.9166,74.6,India
Bangaon,23.0435,88.8318,India
Datia,25.67,78.47,India
Sehore,23.2,77.08,India
Sitamarhi,26.6,85.48,India
Mungeli,22.07,81.68,India
Tadpatri,14.92,78.02,India
Islamabad,33.73,75.15,India
Jalpaiguri,26.5167,88.7333,India
Gharbara,28.4962,77.536,India
Shamli,29.45,77.32,India
Suriapet,17.1415,79.6236,India
Shikohabad,27.1,78.6,India
Kishanganj,26.0794,87.9372,India
Ranibennur,14.6167,75.6167,India
Jamalpur,25.3,86.5,India
Nautanwa,27.43,83.42,India
Gangawati,15.43,76.53,India
Ballia,25.7604,84.1471,India
Mirialguda,16.8667,79.5833,India
Makrana,27.05,74.72,India
Sheopur,25.67,76.7,India
Tezpur,26.63,92.8,India
Kurichchi,10.9609,76.9738,India
Tadepallegudem,16.815,81.526,India
Brajarajnagar,21.8167,83.9167,India
Kalyani,22.975,88.4344,India
Negapatam,10.7667,79.8333,India
Buxar,25.5605,83.9805,India
Bundi,25.4383,75.6372,India
Amaravati,16.5131,80.5165,India
Rishikesh,30.1083,78.2972,India
Bhadreswar,22.82,88.35,India
Sundarnagar,31.53,76.88,India
Seoni,22.08,79.53,India
Kapurthala,31.38,75.38,India
Aurangabad,24.7,84.35,India
Chilakalurupet,16.0892,80.1672,India
Vasco Da Gama,15.3981,73.8111,India
Dhamtari,20.71,81.55,India
Sujangarh,27.7,74.47,India
Jeypore,18.8563,82.5716,India
Port Blair,11.6683,92.7378,India
Chanwari,23.2,82.35,India
Gangtok,27.33,88.62,India
Dhulian,24.68,87.97,India
Kohima,25.67,94.1,India
Marmagao,15.402,73.8,India
Tripunittura,9.9528,76.3387,India
Jangipur,24.47,88.07,India
Perintalmanna,10.9765,76.2269,India
Chinnachauku,14.4732,78.8451,India
Ponnani,10.77,75.9,India
Baj Baj,22.4828,88.1818,India
Tanuku,16.75,81.7,India
Araria,26.15,87.52,India
Kuniyamuttur,10.9638,76.9525,India
Madhubani,26.37,86.08,India
Malappuram,11.0588,76.0693,India
Nerkunram,13.0667,80.2833,India
Avaniyapuram,9.8818,78.1125,India
Siuri,23.91,87.527,India
Kodungallur,10.2338,76.1946,India
Gaura,25.4961,85.9709,India
Neyyattinkara,8.4,77.08,India
Varisshiyakuni,11.64,75.587,India
Tamluk,22.3,87.92,India
Kayankulam,9.172,76.501,India
Bankra,22.63,88.3,India
Khagaul,25.579,85.0456,India
Sundapalaiyam,11.0014,76.8732,India
Nagari,13.3214,79.5856,India
Maduraivayal,13.0631,80.1719,India
Tirur,10.9,75.92,India
Poonamallee,13.0465,80.11,India
Chakapara,22.63,88.35,India
Itanagar,27.1,93.62,India
Karimganj,24.87,92.35,India
Mundka,28.6794,77.0284,India
Baruipur,22.3654,88.4325,India
Mandapeta,16.87,81.93,India
Bhimunipatnam,17.8846,83.4393,India
Pithapuram,17.1167,82.2667,India
Tirupparangunram,9.8815,78.0731,India
Madhipura,25.92,86.792,India
Amalapuram,16.5787,82.0061,India
Badurpalle,17.5468,78.365,India
Arwal,25.25,84.68,India
Kunnamkulam,10.65,76.08,India
Kendraparha,20.5,86.42,India
Changanacheri,9.4667,76.55,India
Bodupal,17.4139,78.5783,India
Pakaur,24.63,87.85,India
Manali,13.1667,80.2667,India
Bihat,25.4253,86.0208,India
Nellikkuppam,11.7667,79.6833,India
Gobardanga,22.87,88.76,India
Shertallai,9.6869,76.3361,India
Sijua,23.7692,86.1673,India
Chalungalpadam,9.6896,76.3388,India
Ramachandrapuram,16.85,82.02,India
Murshidabad,24.18,88.27,India
Diamond Harbour,22.191,88.1905,India
Dhaka,26.72,85.33,India
Varkkallai,8.734,76.7256,India
Bakhtiyarpur,25.4667,85.5167,India
Tinnanur,13.1145,80.0271,India
Palladam,10.99,77.2,India
Guruvayur,10.5947,76.0403,India
Sagauli,26.7833,84.7333,India
Porur,13.0356,80.1582,India
Phulwaria,25.4697,85.9847,India
Melmadai,9.9264,78.1503,India
Lalganj,25.87,85.18,India
Madipakkam,12.9623,80.1986,India
Amudalavalasa,18.4167,83.9,India
Tuvagudi,10.7564,78.8011,India
Kankuria,24.658,87.9794,India
Pujali,22.4679,88.1452,India
Chittaranjan,23.87,86.87,India
Panaji,15.4989,73.8278,India
Nallur,11.1003,77.3914,India
Paravurkambolam,8.8168,76.6719,India
Paravur Tekkumbhagam,8.811,76.669,India
Herohalli,12.9911,77.4873,India
Attingal,8.68,76.83,India
Dighwara,25.7443,85.01,India
Pandaul,26.2517,86.0747,India
Pappinissheri,11.95,75.35,India
Madukkarai,10.9057,76.9634,India
Bibhutpur,25.6878,85.9992,India
Pappakurichchi,10.8137,78.7481,India
Pardiguda,17.3974,78.5783,India
Waris Aliganj,25.01,85.63,India
Bangaon,25.8673,86.5115,India
Chavakkad,10.589,76.0167,India
Mangalam,10.845,75.919,India
Turkauliya,26.6079,84.8296,India
Kaippakancheri,10.938,75.987,India
Sankrail,22.57,88.24,India
Kartarpur,31.4427,75.4985,India
Pallijkarani,12.9333,80.2022,India
Elesvaram,17.2833,82.1,India
Chamtha,25.5789,85.7734,India
Singia,25.8424,86.1622,India
Kararan,30.772,76.7959,India
Vandiyur,9.9092,78.1609,India
Nauagarhi,25.3443,86.5358,India
Nagtala,22.3693,88.6071,India
Sursand,26.65,85.7167,India
Tarakeswar,22.89,88.02,India
Vilangudi,9.9458,78.0935,India
Narapalli,17.4875,78.6012,India
Nethirimangalam,10.8,76.14,India
Sabalpur,25.6053,85.1835,India
Marhaura,25.97,84.87,India
Maranga,25.7592,87.4665,India
Nibria,22.61,88.25,India
Kuli,24.7366,87.9426,India
Beldanga,23.93,88.25,India
Saranga,22.54,88.21,India
Naravarikuppam,13.1913,80.1847,India
Mirganj,26.3638,84.364,India
Virapandi,11.0625,77.3508,India
Simri Bakhriarpur,25.7216,86.5937,India
Nasriganj,25.05,84.3333,India
Kantai,26.2142,85.2975,India
Jaynagar-Majilpur,22.1752,88.4201,India
Perunkalattu,12.9182,80.0824,India
Panchla,22.54,88.14,India
Dalsingh Sarai,25.668,85.8364,India
Mamidalapadu,15.831,78.05,India
Punch,33.7703,74.0925,India
Nokha,25.1015,84.1228,India
Ghataro Chaturbhuj,25.8146,85.1862,India
Sograha,25.4798,85.9992,India
Koelwar,25.5805,84.7975,India
Baruni,25.4751,85.9681,India
Jalhalli,13.0333,77.55,India
Salua,22.61,88.27,India
Mavelikara,9.267,76.55,India
Shishgarh,28.72,79.32,India
Karunagapalli,9.0544,76.5353,India
Vilachcheri,9.8937,78.0603,India
Dharmapuram,8.3839,77.1284,India
Sandi,27.3,79.95,India
Masrakh,26.1054,84.8026,India
Simaria,25.4221,86.006,India
Sahibpur Kamal,25.4167,86.3901,India
Poranki,16.4743,80.7128,India
Panapur,25.6729,85.0715,India
Maharajgani,26.1075,84.5025,India
Alwaye,10.1167,76.35,India
Garhara,25.4407,85.9983,India
Simria,25.9663,85.8324,India
Sirkhandi Bhitha,26.6244,85.7787,India
Mairwa,26.2322,84.1635,India
Sundararaopeta,16.8031,81.6419,India
Ukkayapalle,14.4898,78.8927,India
Mahadebnagar,24.6896,87.9384,India
Karian,25.8594,86.0104,India
Singhara Buzurg,25.7964,85.4539,India
Bagalur,13.1328,77.6685,India
Jethuli,25.5378,85.2841,India
Dip,26.2369,86.3107,India
Vellalur,10.9775,77.026,India
Mahthi,25.7281,86.0093,India
Hunasamaranhalli,13.1435,77.62,India
Vaikam,9.7667,76.4,India
Kanke,23.4348,85.3206,India
Hesarghatta,13.1391,77.4783,India
Raja Pakar,25.735,85.3376,India
Kondalampatti,11.6262,78.1189,India
North Guwahati,26.19,91.71,India
Chinnasekkadu,13.1609,80.2573,India
Balasore,21.4942,86.9317,India
Chausa,25.5283,87.0322,India
Panniyannur,11.7538,75.5528,India
Bakhri,25.5989,86.2607,India
Bariarpur,25.686,86.0295,India
Behat,26.2435,86.2799,India
Bauria,22.4521,88.1853,India
Nerupperichchal,11.161,77.374,India
Pakri,25.5876,85.158,India
Mohiuddinnagar,25.7428,86.0812,India
Sancoale,15.467,73.833,India
Dumjor,22.64,88.22,India
Kannankurichchi,11.6969,78.1794,India
Khizrpur,30.5843,76.7572,India
Mirpeta,17.32,78.52,India
Mahiari,22.59,88.24,India
Bhopatpur,26.4495,84.8545,India
Pahsara,25.5482,86.1667,India
Vandalur,12.8924,80.0808,India
Sarso,26.2333,86.1768,India
Dumra,26.5671,85.5204,India
Morwa,25.803,85.6861,India
Mayahaura,22.1834,88.4998,India
Manjha,26.4061,84.5002,India
Ghosai,25.5562,87.0304,India
Nilaiyur,9.8572,78.0598,India
Harihans,26.1457,84.3476,India
Harpur,26.4527,86.071,India
Dumri,25.4014,86.1165,India
Sakri,26.2197,86.0853,India
Murugampalaiyam,11.0806,77.3238,India
Ulao,25.4165,86.0936,India
Laualagaon,25.494,87.0412,India
Mahisi,25.854,86.469,India
Basatpur,26.0011,85.0643,India
Erumapalaiyam,11.6324,78.1695,India
Pachmir,25.4077,86.3803,India
Manikpur,25.91,86.821,India
Bhogpur,31.55,75.63,India
Malancha,24.666,87.922,India
Arajpur,25.5197,87.0808,India
Keota,25.644,85.8287,India
Harpur Pusa,25.9667,85.6667,India
Usmanpur,24.9218,88.0124,India
Dhobauli,25.4008,86.1885,India
Baikatpur,25.4939,85.3792,India
Raghudebbati,22.53,88.2,India
Lakhnaur,26.202,86.309,India
Pariharpur,26.7114,85.6797,India
Mohan Eghu,25.4002,86.145,India
Nahazari,22.4347,88.2487,India
Abdullahnagar,25.7683,87.5557,India
Rampur Jalalpur,25.6712,85.8606,India
Kalyanpur Bamaiya,25.714,85.9212,India
Khusropur,25.4817,85.3849,India
Giria,24.5167,88.0667,India
Pupri,26.4708,85.7031,India
Majitha,31.7571,74.9589,India
Dhamaun,25.5999,85.5479,India
Karahia,26.4054,86.149,India
Shankar Saraiya,26.5967,84.8526,India
Baharu,22.204,88.4283,India
Mau Dhaneshpur,25.5899,85.8337,India
Raiyam,26.2702,86.2071,India
Baro,25.4487,85.9924,India
Malhipur,25.4069,86.0234,India
Mukhtarpur Salkani,25.6643,85.7784,India
Jagdispur,22.65,88.29,India
Hargawan,25.1428,85.5652,India
Ramnagar,22.3245,88.494,India
Kundal,25.762,86.2081,India
Barharwa Kalan,26.5434,84.8286,India
Dhumnagar,26.756,84.5233,India
Jaypul,22.7833,88.5695,India
Meddappakkam,12.9166,80.1939,India
Tengampudur,8.1158,77.4579,India
Gopalnagar,24.8063,88.0796,India
Itahri,25.313,86.5459,India
Mangrauni,26.3667,86.0833,India
Palda,22.68,75.8939,India
Kanhauli Manohar,25.9755,84.6853,India
Singhwara,26.1842,85.7368,India
Garhpura,25.6638,86.1818,India
Puluvappatti,10.963,76.8158,India
Billapadu,16.6364,80.9661,India
Hasanpur Juned,25.5915,85.5238,India
Dogachi,24.6195,87.9221,India
Suchindram,8.1544,77.467,India
Tanakkangulam,9.8877,78.0397,India
Lakho,25.4113,86.1792,India
Gundur,10.7339,78.7184,India
Baynala,22.5277,88.558,India
Puttalam,8.0981,77.464,India
Sasan,25.6883,86.1907,India
Balaungi,30.7306,76.6937,India
Kamrawan,25.6956,85.838,India
Babhani Bholwa,26.0876,86.7456,India
Fatehpur,25.5089,85.1939,India
Chandi,25.7296,87.5195,India
Belsandi Tara,25.7722,85.9608,India
Raje,26.2216,86.1454,India
Mugalivakkam,13.0205,80.1653,India
Ijra,26.3119,86.0037,India
Tabhka Khas,25.6518,85.9426,India
Bhatranha,25.9846,86.6348,India
Tirumalaiyampalaiyam,10.879,76.9295,India
Andipalaiyam,11.092,77.315,India
Beur,25.569,85.0944,India
Sahit,25.5888,85.7948,India
Bommayapalaiyam,11.9922,79.8499,India
Perumbakkam,12.9055,80.1993,India
Dayalpur Sapha,25.7122,85.3188,India
Manappakkam,13.0108,80.1686,India
Nalambur,13.0867,80.1703,India
Narhan,25.6941,86.0074,India
Jamira,25.5535,84.7063,India
Vengavasal,12.8991,80.169,India
Janai,22.7157,88.2426,India
Tamarakulam,8.1325,77.4848,India
Daharia,25.5307,87.5947,India
Gopalpur,26.1317,84.3594,India
Kotwapatti Rampur,25.7153,84.8063,India
Kiratpur Rajaram,25.856,85.285,India
Barwat Pasrain,26.7925,84.5469,India
Bahagalpur,24.5934,87.9536,India
Muragacha,22.69,88.42,India
Bela,25.8103,85.0157,India
Ottaikkalmantapam,10.8827,76.9943,India
Alampur Gonpura,25.5404,85.0511,India
Simri,26.1639,85.7617,India
